S_junc_w,S_perc,V_active_size,comp_size,t,Fmax_0.10,Fmax_0.20,Fmax_0.30,comp_frac
4.729199777254179,0.9553072625698324,179,171,4308,1.0,0.375,0.125,0.9553072625698324
4.709287919338216,0.9772727272727273,176,172,4364,1.0,0.125,0.125,0.9772727272727273
4.9723670533220306,0.9774011299435028,177,173,4420,1.0,0.125,0.125,0.9774011299435028
5.468693503457276,0.9823529411764705,170,167,4476,1.0,0.25,0.125,0.9823529411764705
4.932221756566931,0.9875776397515528,161,159,4532,1.0,0.375,0.125,0.9875776397515528
5.786391254900277,1.0,151,151,4588,1.0,1.0,0.125,1.0
4.6215820247305945,0.9748427672955975,159,155,4644,1.0,0.375,0.125,0.9748427672955975
4.897652465808578,0.9715909090909091,176,171,4700,1.0,0.25,0.125,0.9715909090909091
4.387666250333447,0.9444444444444444,180,170,4756,1.0,0.25,0.125,0.9444444444444444
4.973879394831769,0.9829545454545454,176,173,4812,1.0,0.5,0.125,0.9829545454545454
4.847271448418828,0.9884393063583815,173,171,4868,1.0,0.125,0.125,0.9884393063583815
4.667787420793817,0.9553072625698324,179,171,4924,1.0,0.25,0.125,0.9553072625698324
5.74088373657321,0.9814814814814815,162,159,4980,1.0,0.625,0.125,0.9814814814814815
